,scenario,fuse_size,dso_packet,battery,pv_capacity,cost_sum,cost_mean
71,Kaitse:32 + net4 + PV:6 + Aku:Tesla Powerwall 2,32,net4,Tesla Powerwall 2,6,-208.0,-0.57
72,Kaitse:32 + net4 + PV:6 + Aku:LG Chem RESU,32,net4,LG Chem RESU,6,-77.0,-0.21
73,Kaitse:16 + net1 + PV:9 + Aku:Puudub,16,net1,Puudub,9,-154.0,-0.42
74,Kaitse:16 + net1 + PV:9 + Aku:Tesla Powerwall 2,16,net1,Tesla Powerwall 2,9,-490.0,-1.34
75,Kaitse:16 + net1 + PV:9 + Aku:LG Chem RESU,16,net1,LG Chem RESU,9,-341.0,-0.93
76,Kaitse:16 + net2 + PV:9 + Aku:Puudub,16,net2,Puudub,9,-181.0,-0.5
77,Kaitse:16 + net2 + PV:9 + Aku:Tesla Powerwall 2,16,net2,Tesla Powerwall 2,9,-496.0,-1.36
78,Kaitse:16 + net2 + PV:9 + Aku:LG Chem RESU,16,net2,LG Chem RESU,9,-360.0,-0.99
79,Kaitse:16 + net3 + PV:9 + Aku:Puudub,16,net3,Puudub,9,-253.0,-0.69
80,Kaitse:16 + net3 + PV:9 + Aku:Tesla Powerwall 2,16,net3,Tesla Powerwall 2,9,-531.0,-1.46
81,Kaitse:16 + net3 + PV:9 + Aku:LG Chem RESU,16,net3,LG Chem RESU,9,-411.0,-1.12
82,Kaitse:16 + net4 + PV:9 + Aku:Puudub,16,net4,Puudub,9,-265.0,-0.73
83,Kaitse:16 + net4 + PV:9 + Aku:Tesla Powerwall 2,16,net4,Tesla Powerwall 2,9,-536.0,-1.47
84,Kaitse:16 + net4 + PV:9 + Aku:LG Chem RESU,16,net4,LG Chem RESU,9,-420.0,-1.15
85,Kaitse:20 + net1 + PV:9 + Aku:Puudub,20,net1,Puudub,9,-154.0,-0.42
86,Kaitse:20 + net1 + PV:9 + Aku:Tesla Powerwall 2,20,net1,Tesla Powerwall 2,9,-490.0,-1.34
87,Kaitse:20 + net1 + PV:9 + Aku:LG Chem RESU,20,net1,LG Chem RESU,9,-341.0,-0.93
88,Kaitse:20 + net2 + PV:9 + Aku:Puudub,20,net2,Puudub,9,-181.0,-0.5
89,Kaitse:20 + net2 + PV:9 + Aku:Tesla Powerwall 2,20,net2,Tesla Powerwall 2,9,-496.0,-1.36
90,Kaitse:20 + net2 + PV:9 + Aku:LG Chem RESU,20,net2,LG Chem RESU,9,-360.0,-0.99
91,Kaitse:20 + net3 + PV:9 + Aku:Puudub,20,net3,Puudub,9,-233.0,-0.64
92,Kaitse:20 + net3 + PV:9 + Aku:Tesla Powerwall 2,20,net3,Tesla Powerwall 2,9,-523.0,-1.43
93,Kaitse:20 + net3 + PV:9 + Aku:LG Chem RESU,20,net3,LG Chem RESU,9,-396.0,-1.09
94,Kaitse:20 + net4 + PV:9 + Aku:Puudub,20,net4,Puudub,9,-245.0,-0.67
95,Kaitse:20 + net4 + PV:9 + Aku:Tesla Powerwall 2,20,net4,Tesla Powerwall 2,9,-527.0,-1.44
96,Kaitse:20 + net4 + PV:9 + Aku:LG Chem RESU,20,net4,LG Chem RESU,9,-406.0,-1.11
97,Kaitse:32 + net1 + PV:9 + Aku:Puudub,32,net1,Puudub,9,-119.0,-0.33
98,Kaitse:32 + net1 + PV:9 + Aku:Tesla Powerwall 2,32,net1,Tesla Powerwall 2,9,-476.0,-1.31
99,Kaitse:32 + net1 + PV:9 + Aku:LG Chem RESU,32,net1,LG Chem RESU,9,-316.0,-0.87
100,Kaitse:32 + net2 + PV:9 + Aku:Puudub,32,net2,Puudub,9,-146.0,-0.4
101,Kaitse:32 + net2 + PV:9 + Aku:Tesla Powerwall 2,32,net2,Tesla Powerwall 2,9,-482.0,-1.32
102,Kaitse:32 + net2 + PV:9 + Aku:LG Chem RESU,32,net2,LG Chem RESU,9,-335.0,-0.92
103,Kaitse:32 + net3 + PV:9 + Aku:Puudub,32,net3,Puudub,9,-178.0,-0.49
104,Kaitse:32 + net3 + PV:9 + Aku:Tesla Powerwall 2,32,net3,Tesla Powerwall 2,9,-500.0,-1.37
